strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
210,70,-180,0.09225809803317878,0.2,1
210,70,160,0.09225809803317878,0.2,1
210,70,170,0.09225809803317878,0.2,1
210,80,-180,0.09225809803317878,0.2,1
210,80,150,0.09225809803317878,0.2,1
210,80,160,0.09225809803317878,0.2,1
210,80,170,0.09225809803317878,0.2,1
210,90,-180,0.09225809803317878,0.2,1
210,90,150,0.09225809803317878,0.2,1
210,90,160,0.09225809803317878,0.2,1
210,90,170,0.09225809803317878,0.2,1
220,60,-180,0.09225809803317878,0.2,1
220,60,-170,0.09225809803317878,0.2,1
220,60,160,0.09225809803317878,0.2,1
220,60,170,0.09225809803317878,0.2,1
220,70,-180,0.09225809803317878,0.2,1
220,70,-170,0.09225809803317878,0.2,1
220,70,160,0.09225809803317878,0.2,1
220,70,170,0.09225809803317878,0.2,1
220,80,-180,0.09225809803317878,0.2,1
220,80,-170,0.09225809803317878,0.2,1
220,80,160,0.09225809803317878,0.2,1
220,80,170,0.09225809803317878,0.2,1
220,90,-180,0.09225809803317878,0.2,1
220,90,-170,0.09225809803317878,0.2,1
220,90,160,0.09225809803317878,0.2,1
220,90,170,0.09225809803317878,0.2,1
230,60,-180,0.09225809803317878,0.2,1
230,60,-170,0.09225809803317878,0.2,1
230,60,170,0.09225809803317878,0.2,1
230,70,-180,0.09225809803317878,0.2,1
230,70,-170,0.09225809803317878,0.2,1
230,70,170,0.09225809803317878,0.2,1
230,80,-180,0.09225809803317878,0.2,1
230,80,-170,0.09225809803317878,0.2,1
230,80,-160,0.09225809803317878,0.2,1
230,80,170,0.09225809803317878,0.2,1
230,90,-180,0.09225809803317878,0.2,1
230,90,-170,0.09225809803317878,0.2,1
230,90,-160,0.09225809803317878,0.2,1
230,90,170,0.09225809803317878,0.2,1
240,50,-140,0.09225809803317878,0.2,1
240,50,-130,0.09225809803317878,0.2,1
240,50,-120,0.09225809803317878,0.2,1
240,50,-110,0.09225809803317878,0.2,1
240,50,-100,0.09225809803317878,0.2,1
240,50,-90,0.09225809803317878,0.2,1
240,50,-80,0.09225809803317878,0.2,1
240,70,-180,0.09225809803317878,0.2,1
240,70,-170,0.09225809803317878,0.2,1
240,70,-160,0.09225809803317878,0.2,1
240,80,-180,0.09225809803317878,0.2,1
240,80,-170,0.09225809803317878,0.2,1
240,80,-160,0.09225809803317878,0.2,1
240,90,-180,0.09225809803317878,0.2,1
240,90,-170,0.09225809803317878,0.2,1
240,90,-160,0.09225809803317878,0.2,1
240,90,-150,0.09225809803317878,0.2,1
240,90,170,0.09225809803317878,0.2,1
250,50,-130,0.09225809803317878,0.2,1
250,50,-120,0.09225809803317878,0.2,1
250,50,-110,0.09225809803317878,0.2,1
250,50,-100,0.09225809803317878,0.2,1
250,50,-90,0.09225809803317878,0.2,1
250,50,-80,0.09225809803317878,0.2,1
250,50,-70,0.09225809803317878,0.2,1
250,70,-180,0.09225809803317878,0.2,1
250,70,-170,0.09225809803317878,0.2,1
250,70,-160,0.09225809803317878,0.2,1
250,70,-150,0.09225809803317878,0.2,1
260,50,-130,0.09225809803317878,0.2,1
260,50,-120,0.09225809803317878,0.2,1
260,50,-110,0.09225809803317878,0.2,1
260,50,-100,0.09225809803317878,0.2,1
260,50,-90,0.09225809803317878,0.2,1
260,50,-80,0.09225809803317878,0.2,1
260,50,-70,0.09225809803317878,0.2,1
260,50,-60,0.09225809803317878,0.2,1
270,50,-50,0.09225809803317878,0.2,1
270,50,-40,0.09225809803317878,0.2,1
270,60,-50,0.09225809803317878,0.2,1
